Date,Open,High,Low,Close,Adj Close,Volume
2007-11-23,12.100800,12.100800,11.882700,11.882700,7.600810,15326210
2007-11-26,11.937200,12.209800,11.910000,12.155300,7.775179,43281776
2007-11-27,11.991700,12.209800,11.828200,12.019000,7.687995,44292638
2007-11-28,12.128000,12.209800,11.964500,12.100800,7.740317,55536873
2007-11-29,12.264300,12.536800,12.264300,12.536800,8.019207,46705131
2007-11-30,12.400500,12.754900,12.400500,12.754900,8.158716,41548083
2007-12-03,12.645800,12.700300,12.509600,12.564100,8.036670,10326938
2007-12-04,12.509600,12.591300,12.400500,12.427800,7.949486,19103642
2007-12-05,12.427800,12.509600,12.264300,12.427800,7.949486,26641995
2007-12-06,12.591300,12.645800,12.264300,12.455100,7.966946,53795842
2007-12-07,12.536800,12.618600,12.427800,12.455100,7.966946,30780842
2007-12-10,12.455100,12.564100,12.400500,12.509600,8.001808,41715031
2007-12-11,12.482300,12.536800,12.400500,12.482300,7.984347,26559438
2007-12-12,12.400500,12.455100,12.264300,12.346100,7.897225,35796626
2007-12-13,12.264300,12.400500,12.209800,12.318800,7.879762,50082621
2007-12-14,12.264300,12.346100,11.991700,12.346100,7.897225,43272603
2007-12-17,12.155300,12.291500,11.937200,11.964500,7.653134,40564740
2007-12-18,11.882700,12.073500,11.882700,11.882700,7.600810,49029563
2007-12-19,12.100800,12.155300,11.882700,12.100800,7.740317,27456556
2007-12-20,11.991700,12.100800,11.882700,11.882700,7.600810,23449799
2007-12-21,11.910000,12.128000,11.828200,11.828200,7.565949,23669951
2007-12-24,11.991700,12.100800,11.910000,11.937200,7.635671,8250176
2007-12-25,11.991700,12.019000,11.910000,11.937200,7.635671,7290682
2007-12-26,11.882700,12.100800,11.855500,12.073500,7.722855,9037217
2007-12-27,11.964500,12.427800,11.937200,12.373300,7.914625,37785328
2007-12-28,12.046300,12.509600,12.046300,12.509600,8.001808,21079502
2007-12-31,12.536800,12.564100,12.427800,12.564100,8.036670,10011387
2008-01-02,12.536800,12.536800,12.155300,12.155300,7.775179,18289082
2008-01-03,11.991700,12.155300,11.964500,12.128000,7.757717,34024407
2008-01-04,12.046300,12.727600,11.991700,12.645800,8.088927,45026476
2008-01-07,12.427800,12.618600,12.291500,12.346100,7.897225,41364624
2008-01-08,12.536800,12.782100,12.482300,12.754900,8.158716,64632798
2008-01-09,12.591300,12.891100,12.509600,12.891100,8.245838,60554492
2008-01-10,12.754900,12.945600,12.645800,12.918400,8.263298,58908860
2008-01-11,12.972900,12.972900,12.673100,12.700300,8.123791,69729304
2008-01-14,13.354400,13.572500,13.272700,13.572500,8.681697,313809386
2008-01-15,14.063100,14.499100,14.063100,14.499100,9.274400,177840179
2008-01-16,15.480300,15.507500,14.608100,14.853400,9.501027,562428258
2008-01-17,14.608100,14.853400,14.335600,14.744400,9.431307,249072017
2008-01-18,13.981300,14.826200,13.763300,14.417300,9.222075,329190635
2008-01-21,14.172100,14.499100,14.172100,14.281100,9.134955,172769357
2008-01-22,13.463500,13.736000,13.327200,13.327200,8.524790,135820605
2008-01-23,13.627000,13.872300,13.354400,13.490700,8.629372,125794541
2008-01-24,13.899500,14.253800,13.790500,14.144800,9.047771,102031026
2008-01-25,14.063100,14.335600,13.954000,14.144800,9.047771,112521243
2008-01-28,13.845000,14.144800,13.381700,13.627000,8.716557,95479686
2008-01-29,13.245400,13.627000,13.245400,13.463500,8.611975,106012098
2008-01-30,13.408900,13.790500,13.327200,13.599700,8.699096,88011048
2008-01-31,13.354400,14.008500,13.354400,13.954000,8.925724,79834256
2008-02-01,14.063100,14.226600,14.063100,14.063100,8.995509,129076632
2008-02-12,13.354400,14.226600,13.354400,14.172100,9.065232,197763886
2008-02-13,14.635400,14.635400,14.226600,14.335600,9.169815,75231256
2008-02-14,14.444600,14.853400,14.444600,14.853400,9.501027,108923601
2008-02-15,14.880700,14.989700,14.717100,14.989700,9.588214,137409365
2008-02-18,14.989700,15.016900,14.362800,14.826200,9.483629,76324675
2008-02-19,14.935200,15.071400,14.771700,14.935200,9.553352,70220975
2008-02-20,14.935200,14.935200,14.226600,14.417300,9.222075,59228080
2008-02-21,14.608100,14.935200,14.471900,14.935200,9.553352,31705479
2008-02-22,14.935200,15.125900,14.880700,15.125900,9.675334,84664745
2008-02-25,15.207700,15.262200,14.962400,15.262200,9.762519,109695966
2008-02-26,15.371200,15.698300,14.880700,15.371200,9.832239,114829164
2008-02-27,15.562000,15.589300,15.371200,15.589300,9.971748,75315647
2008-02-29,15.534800,15.698300,15.344000,15.398500,9.849705,92555340
2008-03-03,15.016900,15.398500,14.989700,15.398500,9.849705,70901610
2008-03-04,15.153200,15.371200,15.153200,15.289500,9.779981,87884460
2008-03-05,15.262200,15.316700,15.125900,15.262200,9.762519,63166956
2008-03-06,15.262200,15.344000,14.962400,15.180500,9.710258,90869347
2008-03-07,14.989700,15.071400,14.553600,14.608100,9.344122,83358513
2008-03-10,14.226600,14.281100,13.817800,13.899500,8.890863,251935820
2008-03-11,13.872300,14.335600,13.872300,14.281100,9.134955,160457387
2008-03-12,14.553600,14.635400,14.308300,14.417300,9.222075,130656219
2008-03-13,14.499100,14.499100,14.090300,14.226600,9.100093,63291708
